OrderID,OrderDate,Branch,Category,MenuItem,Quantity,UnitPrice,OrderValue,OrderChannel,DeliveryPartner,PrepTimeMinutes,DeliveryTimeMinutes,TotalTimeMinutes,PaymentMethod,CustomerRating,WastageQuantityKg,Weather,DayType,OptimizationPhase
ORD000001,2023-01-01,Shoreditch East,Starters,Soup of the Day,1,5.0,5.0,Dine-In,N/A,17,0,17,Cash,4,0,Clear,Weekend,Pre-Optimization
ORD000002,2023-01-01,Camden High Street,Starters,Bruschetta,1,5.5,5.5,Dine-In,N/A,27,0,27,Card,2,0.33,Rain,Weekend,Pre-Optimization
ORD000003,2023-01-01,Camden High Street,Desserts,Tiramisu,1,6.5,6.5,Takeaway,N/A,21,0,21,Card,4,0,Clear,Weekend,Pre-Optimization
ORD000004,2023-01-01,Kingston Upon Thames,Mains,Fish & Chips,2,12.0,24.0,Dine-In,N/A,19,0,19,Card,4,0,Clear,Weekend,Pre-Optimization
ORD000005,2023-01-01,Kingston Upon Thames,Starters,Soup of the Day,2,5.0,10.0,Delivery,Just Eat,27,45,72,Cash,4,0,Clear,Weekend,Pre-Optimization
ORD000006,2023-01-01,Shoreditch East,Mains,Grilled Salmon,1,16.0,16.0,Takeaway,N/A,23,0,23,Mobile Wallet,4,0,Clear,Weekend,Pre-Optimization
ORD000007,2023-01-01,Kingston Upon Thames,Starters,Calamari,1,7.0,7.0,Delivery,Deliveroo,24,34,58,Cash,4,0,Clear,Weekend,Pre-Optimization
ORD000008,2023-01-01,Kingston Upon Thames,Desserts,Chocolate Brownie,1,5.5,5.5,Takeaway,N/A,25,0,25,Mobile Wallet,4,0,Clear,Weekend,Pre-Optimization
ORD000009,2023-01-01,Camden High Street,Beverages,Fresh Juice,2,3.5,7.0,Delivery,In-House Rider,15,44,59,Mobile Wallet,4,0,Clear,Weekend,Pre-Optimization
ORD000010,2023-01-01,Greenwich Riverside,Desserts,Cheesecake,1,6.0,6.0,Delivery,Just Eat,25,35,60,Mobile Wallet,5,0.38,Clear,Weekend,Pre-Optimization
ORD000011,2023-01-01,Shoreditch East,Beverages,Fresh Juice,1,3.5,3.5,Dine-In,N/A,28,0,28,Cash,4,0,Cloudy,Weekend,Pre-Optimization
ORD000012,2023-01-01,Kingston Upon Thames,Desserts,Ice Cream Sundae,4,5.0,20.0,Dine-In,N/A,26,0,26,Card,5,0,Clear,Weekend,Pre-Optimization
ORD000013,2023-01-01,Shoreditch East,Mains,Chicken Tikka Masala,1,13.5,13.5,Dine-In,N/A,14,0,14,Card,4,0,Rain,Weekend,Pre-Optimization
ORD000014,2023-01-01,Shoreditch East,Beverages,Coffee,4,3.0,12.0,Takeaway,N/A,15,0,15,Cash,2,0,Cloudy,Weekend,Pre-Optimization
ORD000015,2023-01-01,Kingston Upon Thames,Desserts,Tiramisu,1,6.5,6.5,Dine-In,N/A,29,0,29,Mobile Wallet,4,0,Cloudy,Weekend,Pre-Optimization
ORD000016,2023-01-01,Greenwich Riverside,Desserts,Chocolate Brownie,2,5.5,11.0,Dine-In,N/A,17,0,17,Card,4,0,Cloudy,Weekend,Pre-Optimization
ORD000017,2023-01-01,Kingston Upon Thames,Mains,Beef Burger,2,10.5,21.0,Dine-In,N/A,18,0,18,Mobile Wallet,5,0,Clear,Weekend,Pre-Optimization
ORD000018,2023-01-01,Camden High Street,Beverages,Fresh Juice,4,3.5,14.0,Dine-In,N/A,28,0,28,Cash,4,0,Clear,Weekend,Pre-Optimization
ORD000019,2023-01-01,Canary Wharf,Beverages,Fresh Juice,3,3.5,10.5,Delivery,Deliveroo,30,26,56,Card,1,0,Clear,Weekend,Pre-Optimization
ORD000020,2023-01-01,Kingston Upon Thames,Beverages,Coffee,1,3.0,3.0,Delivery,In-House Rider,22,58,80,Cash,2,0,Clear,Weekend,Pre-Optimization
ORD000021,2023-01-01,Kingston Upon Thames,Desserts,Chocolate Brownie,2,5.5,11.0,Delivery,Deliveroo,21,50,71,Mobile Wallet,3,0,Clear,Weekend,Pre-Optimization
ORD000022,2023-01-01,Camden High Street,Mains,Veg Stir Fry,1,9.5,9.5,Delivery,Deliveroo,25,53,78,Mobile Wallet,1,0,Clear,Weekend,Pre-Optimization
ORD000023,2023-01-01,Shoreditch East,Beverages,Fresh Juice,1,3.5,3.5,Dine-In,N/A,20,0,20,Cash,3,0,Cloudy,Weekend,Pre-Optimization
ORD000024,2023-01-01,Greenwich Riverside,Desserts,Cheesecake,2,6.0,12.0,Delivery,In-House Rider,17,49,66,Mobile Wallet,3,0,Clear,Weekend,Pre-Optimization
ORD000025,2023-01-01,Canary Wharf,Desserts,Tiramisu,1,6.5,6.5,Dine-In,N/A,16,0,16,Mobile Wallet,5,0,Clear,Weekend,Pre-Optimization
ORD000026,2023-01-01,Kingston Upon Thames,Mains,Margherita Pizza,2,11.0,22.0,Delivery,Just Eat,25,34,59,Mobile Wallet,4,1.2,Rain,Weekend,Pre-Optimization
ORD000027,2023-01-01,Camden High Street,Mains,Margherita Pizza,1,11.0,11.0,Takeaway,N/A,20,0,20,Card,5,0,Clear,Weekend,Pre-Optimization
ORD000028,2023-01-01,Kingston Upon Thames,Beverages,Milkshake,1,4.0,4.0,Dine-In,N/A,18,0,18,Card,2,0,Clear,Weekend,Pre-Optimization
